,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition
73,9.999999999976694e-05,0.0053091965128057,0.6465682055038676,12.91562986775006,0.057310884976737,0.0136319183931909,29.9999,3.730058859638332,0,L,LL
74,0.0,0.0218572739220106,3.298010486641501,2.89854491677249,0.0755373966198664,0.0916472764441581,0.0,10.228942041790184,0,L,LL
75,-2.9117999999999995,0.0223773578204451,3.423668877810948,67.08868719434746,0.0206894808972173,0.0260583472634336,44.9118,11.356287542734773,0,L,LL
76,0.0,0.016972041968889,14.498620282537994,279.276992135669,0.0043603730838682,0.0232571152009808,0.0,11.994198671345936,0,L,LL
77,0.0,0.0391538800406297,10.310216805089814,91.15494404966292,0.0097212057247817,0.0368717244768538,0.0,14.28070410668113,0,L,LL
78,0.0,0.0085247008223471,1.2930206512463076,2.8010247629274825,0.0409666198943553,0.0194868261931425,0.0,16.78297021197754,0,L,LL
79,0.0,0.0092251364281801,1.452504240357971,11.619443340811998,0.0599230541907337,0.0320196711746339,0.0,17.87180959182069,0,L,LL
80,0.0,0.0164156522039301,,,,,0.0,19.031782159713813,0,L,LL
81,0.0,0.0316962160384931,5.292685692857635,59.49780929722795,0.0238613012457853,0.0464596299008945,0.0,20.69555436328058,0,L,LL
82,0.0007999999999999,0.0514622662254544,10.6604464810949,88.73422229630465,0.0147747586019932,0.0579430439105474,5.9992,21.418404363280576,0,L,LL
83,0.0,0.0677961421755099,12.190791812125203,56.01198632827511,0.019238183777137,0.0862782846190135,0.0,22.623610339409275,0,L,LL
84,0.0029000000000003,0.0288837175272397,4.259250591193773,50.548043080759015,0.0236523721116576,0.0370606825403464,23.9971,25.39980593903961,1,L,LL
85,0.0029000000000003,0.035409682557108,4.732523545566379,30.55456758470862,0.0507314487426131,0.0883233567474543,23.9971,27.242116088878664,1,L,LL
86,-2.9093000000000018,0.0114266821454064,1.2597825717687523,14.212587114490708,0.0516594438430949,0.0239414715352345,50.9093,31.27619864673847,1,L,LL
87,9.999999999976694e-05,0.0194986275974585,2.3541613677236803,24.54141727848352,0.0574812826053298,0.0497815250280305,29.9999,32.637792008061886,1,L,LL
88,-2.9093000000000018,0.0472918717336021,4.219111391186846,22.934157856565754,0.0819437443569545,0.1271868801951706,50.9093,35.733360359187834,1,L,LL
89,-2.9093000000000018,0.0500950061020548,8.035223302464544,71.35838228130413,0.0203937874529766,0.0602839022988876,50.9093,37.1547796691986,1,L,LL
90,-2.9093000000000018,0.066130565747773,7.689930678955748,47.17006960667228,0.0257597981650083,0.0728736292605466,68.9093,38.91019888464383,1,L,LL
91,-2.9093000000000018,0.0599682439506616,11.841985921399209,76.5435845305579,0.0187739761569606,0.0817873845941292,68.9093,40.4952014966845,1,L,LL
92,-2.9125999999999976,0.0508680912642403,375.6508420315408,231.18988570030933,0.0092111278370136,1.2729246437246244,92.9126,43.50531182554647,2,L,LL
93,-2.906800000000004,0.0424344932507907,3.708871945972627,33.38020745140749,0.0463156727720361,0.0631939255174405,116.9068,45.0619533782271,2,L,LL
94,-2.904599999999988,0.0619833228689362,2.229759262138429,13.56786634103373,0.1183737037842395,0.0970998884821907,128.9046,47.286878387874985,2,L,LL
95,,,,,,,150.7575,49.82542578254372,2,L,LL
