,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition,genotype
4003,-55.0493,0.177530020293392,6.211832247916104,14.37162896303727,0.1247090406572477,0.284985770147506,115.0493,41.36601371317707,2,R,HH,quad
4004,-55.0493,0.1485915386570701,5.037629621887649,16.574619330547424,0.1564231164360285,0.2898896342005953,115.0493,45.93171524098462,2,R,HH,quad
4005,-61.047700000000006,0.1407824354136812,4.070724222139424,11.695473385689796,0.1273899186513845,0.190770957625292,127.0477,47.8921530775281,2,R,HH,quad
4006,,,,,,,139.051,50.19643488037843,2,R,HH,quad
4007,-61.047700000000006,0.1160457978207369,5.034080706183572,17.751256066933173,0.0861969468611883,0.1596311252876318,127.0477,54.01561633265734,2,R,HH,quad
4008,,,,,,,151.0483,57.84547984688238,2,R,HH,quad
4009,,,,,,,151.0483,60.09324864707799,2,R,HH,quad
4010,,,,,,,151.0483,62.52863200892225,2,R,HH,quad
4011,,,,,,,167.8579,70.12899786487185,2,R,HH,quad
4012,0.0,0.193624415352633,20.504717905414147,40.49720534508205,0.0326525259661208,0.2463066289980927,0.0,0.1654526707248935,0,L,HH,quad
4013,-7.0512000000000015,0.2356233925129628,25.30580096775279,39.80656586762896,0.0321052723897038,0.2988835170082051,19.0512,2.3772821433485847,1,L,HH,quad
4014,-13.0501,0.0170320229529978,1.241143163767571,10.725113718428725,0.0818365863258968,0.0373658531654315,31.0501,3.141303228921488,1,L,HH,quad
4015,-7.0512000000000015,0.2045474205503178,16.778286773067812,26.555355943564702,0.0492023509597305,0.3036959397177255,19.0512,4.096329585887618,1,L,HH,quad
4016,-7.0512000000000015,0.1916593725229641,18.03041407432788,37.68061472684018,0.04091121475041,0.2713648505871833,19.0512,6.041202269265531,1,L,HH,quad
4017,-7.0512000000000015,0.2451827557012191,19.102283906099245,30.73830836046701,0.0488199509635855,0.3430742735446664,19.0512,7.398676619559938,1,L,HH,quad
4018,-13.0501,0.1886447244549788,14.799659430892214,27.662842463256226,0.0487089637013889,0.2651954872614891,31.0501,8.717503480827178,1,L,HH,quad
4019,-19.0512,0.1869311090994534,13.121013432952704,19.2482782677402,0.0645264190952498,0.3114658689415823,43.0512,10.47176643348172,1,L,HH,quad
4020,-13.0501,0.2264685912431968,18.667488583153663,29.605027371889825,0.0471686841952992,0.3239255269558583,31.0501,11.346582199800553,1,L,HH,quad
4021,-13.0501,0.2247884147306704,17.43714917201256,26.30415636928893,0.0531708284163998,0.3410785655076227,31.0501,12.81704272545814,1,L,HH,quad
4022,-19.0512,0.2192455262943414,15.81115296642895,23.466765647385515,0.0557960285039897,0.32454307436397,43.0512,13.741794142517485,1,L,HH,quad
4023,-19.0512,0.2058913813804497,14.94880951993543,23.815797752072488,0.054644099352108,0.3005075574029642,43.0512,14.950962114016894,1,L,HH,quad
4024,-19.0512,0.2176284471618795,15.836970842976116,25.484839362145923,0.0564101755393363,0.3286510971417819,43.0512,16.142841731116125,1,L,HH,quad
4025,-19.0512,0.1841826016861878,14.642660843754536,30.92335188524257,0.0466285768425417,0.2511757350485385,43.0512,17.28526712933619,1,L,HH,quad
4026,-19.0512,0.2420429789710337,23.433413907553117,40.88301819909438,0.038955131306309,0.3358193790528711,43.0512,18.80187558338753,1,L,HH,quad
4027,-25.0483,0.1730014684718842,12.10943627127873,27.353423085074997,0.0567459036073063,0.252792369133536,55.0483,20.406640535101943,2,L,HH,quad
