,0,6,12,21,24,30,45,46,53,69,70,77,83,93,100,118,147,148,153,159,165,172,label,condition,side,condition-side,uniq-condition
p26.rsml,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,2,HL,R,HL-R,hetero-low
p27.rsml,0.0,1.0,1.0,3.0,6.0,6.0,10.0,10.0,11.0,11.0,12.0,15.0,16.0,16.0,19.0,23.0,24.0,24.0,26.0,27.0,27.0,27.0,1,LH,R,LH-R,hetero-high
p28.rsml,0.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,9.0,9.0,13.0,17.0,20.0,20.0,21.0,21.0,23.0,23.0,3,HH,R,HH-R,homo-high
p29.rsml,0.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,8.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,0,LL,R,LL-R,homo-low
p31.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,6.0,6.0,7.0,9.0,11.0,15.0,22.0,24.0,24.0,26.0,26.0,26.0,26.0,1,LH,R,LH-R,hetero-high
p36.rsml,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,8.0,10.0,15.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,3,HH,R,HH-R,homo-high
p37.rsml,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,LL,R,LL-R,homo-low
p39.rsml,0.0,1.0,2.0,2.0,2.0,5.0,5.0,7.0,10.0,10.0,10.0,12.0,15.0,16.0,21.0,24.0,28.0,28.0,30.0,30.0,32.0,32.0,1,LH,R,LH-R,hetero-high
p40.rsml,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,7.0,8.0,10.0,13.0,16.0,16.0,16.0,18.0,18.0,18.0,3,HH,R,HH-R,homo-high
p44.rsml,0.0,0.0,0.0,1.0,4.0,6.0,6.0,7.0,8.0,8.0,10.0,11.0,11.0,11.0,12.0,13.0,15.0,15.0,16.0,17.0,17.0,17.0,0,LL,R,LL-R,homo-low
p45.rsml,0.0,0.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,2,HL,R,HL-R,hetero-low
p48.rsml,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,6.0,6.0,8.0,9.0,11.0,11.0,12.0,18.0,20.0,20.0,21.0,21.0,21.0,21.0,0,LL,R,LL-R,homo-low
p49.rsml,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,2,HL,R,HL-R,hetero-low
p50.rsml,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,8.0,12.0,12.0,17.0,24.0,26.0,26.0,27.0,28.0,31.0,31.0,1,LH,R,LH-R,hetero-high
